GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pong,org.example.controller,PongController,0,19,0,0,0,4,0,4,0,4
pong,org.example.filter,ThrottlingInterceptor,0,27,0,2,0,7,0,4,0,3
pong,org.example.filter,WebFluxTraceFilter,0,23,0,2,0,6,0,3,0,2
pong,org.example.filter,LogFilter,0,32,0,0,0,9,0,4,0,4
pong,org.example.service,PongService,0,13,0,0,0,4,0,3,0,3
